ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
6,Two or More Races,0,Not Hispanic or Latino,2020,2020,678.1577987,"Inglewood, CA",16000US0636546,inglewood-ca,2582,0.023621111
6,Two or More Races,1,Hispanic or Latino,2020,2020,1576.491357,"Inglewood, CA",16000US0636546,inglewood-ca,5820,0.053243557
0,White Alone,0,Not Hispanic or Latino,2019,2019,656,"Inglewood, CA",16000US0636546,inglewood-ca,4887,0.044584128
0,White Alone,1,Hispanic or Latino,2019,2019,1966,"Inglewood, CA",16000US0636546,inglewood-ca,25667,0.234160182
1,Black or African American Alone,0,Not Hispanic or Latino,2019,2019,1798,"Inglewood, CA",16000US0636546,inglewood-ca,43457,0.396458449
1,Black or African American Alone,1,Hispanic or Latino,2019,2019,564,"Inglewood, CA",16000US0636546,inglewood-ca,1374,0.01253501
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2019,2019,261,"Inglewood, CA",16000US0636546,inglewood-ca,380,0.003466742
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2019,2019,318,"Inglewood, CA",16000US0636546,inglewood-ca,809,0.007380511
3,Asian Alone,0,Not Hispanic or Latino,2019,2019,465,"Inglewood, CA",16000US0636546,inglewood-ca,2156,0.0196692
3,Asian Alone,1,Hispanic or Latino,2019,2019,124,"Inglewood, CA",16000US0636546,inglewood-ca,109,0.000994408
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2019,2019,429,"Inglewood, CA",16000US0636546,inglewood-ca,450,0.004105352
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2019,2019,71,"Inglewood, CA",16000US0636546,inglewood-ca,85,0.000775455
5,Some Other Race Alone,0,Not Hispanic or Latino,2019,2019,233,"Inglewood, CA",16000US0636546,inglewood-ca,442,0.004032368
5,Some Other Race Alone,1,Hispanic or Latino,2019,2019,1950,"Inglewood, CA",16000US0636546,inglewood-ca,25293,0.230748178
6,Two or More Races,0,Not Hispanic or Latino,2019,2019,505.75587,"Inglewood, CA",16000US0636546,inglewood-ca,2409,0.02197732
6,Two or More Races,1,Hispanic or Latino,2019,2019,585.5672464,"Inglewood, CA",16000US0636546,inglewood-ca,2095,0.019112696
0,White Alone,0,Not Hispanic or Latino,2018,2018,474,"Inglewood, CA",16000US0636546,inglewood-ca,4457,0.040398089
0,White Alone,1,Hispanic or Latino,2018,2018,2003,"Inglewood, CA",16000US0636546,inglewood-ca,25174,0.22817624
1,Black or African American Alone,0,Not Hispanic or Latino,2018,2018,1643,"Inglewood, CA",16000US0636546,inglewood-ca,45291,0.410516011
1,Black or African American Alone,1,Hispanic or Latino,2018,2018,507,"Inglewood, CA",16000US0636546,inglewood-ca,1035,0.009381203
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2018,2018,199,"Inglewood, CA",16000US0636546,inglewood-ca,318,0.002882341
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2018,2018,373,"Inglewood, CA",16000US0636546,inglewood-ca,896,0.008121312
3,Asian Alone,0,Not Hispanic or Latino,2018,2018,502,"Inglewood, CA",16000US0636546,inglewood-ca,2082,0.018871174
3,Asian Alone,1,Hispanic or Latino,2018,2018,69,"Inglewood, CA",16000US0636546,inglewood-ca,52,0.000471326
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2018,2018,378,"Inglewood, CA",16000US0636546,inglewood-ca,317,0.002873277
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2018,2018,87,"Inglewood, CA",16000US0636546,inglewood-ca,77,0.000697925
5,Some Other Race Alone,0,Not Hispanic or Latino,2018,2018,168,"Inglewood, CA",16000US0636546,inglewood-ca,346,0.003136132
5,Some Other Race Alone,1,Hispanic or Latino,2018,2018,1807,"Inglewood, CA",16000US0636546,inglewood-ca,25395,0.230179376
6,Two or More Races,0,Not Hispanic or Latino,2018,2018,524.6227216,"Inglewood, CA",16000US0636546,inglewood-ca,2440,0.022116073
6,Two or More Races,1,Hispanic or Latino,2018,2018,636.3803894,"Inglewood, CA",16000US0636546,inglewood-ca,2447,0.022179521
0,White Alone,0,Not Hispanic or Latino,2017,2017,530,"Inglewood, CA",16000US0636546,inglewood-ca,4127,0.037178171
0,White Alone,1,Hispanic or Latino,2017,2017,1953,"Inglewood, CA",16000US0636546,inglewood-ca,25476,0.229501108
1,Black or African American Alone,0,Not Hispanic or Latino,2017,2017,2035,"Inglewood, CA",16000US0636546,inglewood-ca,45444,0.409383277
1,Black or African American Alone,1,Hispanic or Latino,2017,2017,402,"Inglewood, CA",16000US0636546,inglewood-ca,964,0.008684215
2,American Indian & Alaska Native Alone,0,Not Hispanic or Latino,2017,2017,182,"Inglewood, CA",16000US0636546,inglewood-ca,187,0.001684594
2,American Indian & Alaska Native Alone,1,Hispanic or Latino,2017,2017,323,"Inglewood, CA",16000US0636546,inglewood-ca,687,0.006188855
3,Asian Alone,0,Not Hispanic or Latino,2017,2017,351,"Inglewood, CA",16000US0636546,inglewood-ca,1651,0.01487307
3,Asian Alone,1,Hispanic or Latino,2017,2017,45,"Inglewood, CA",16000US0636546,inglewood-ca,36,0.000324307
4,Native Hawaiian & Other Pacific Islander Alone,0,Not Hispanic or Latino,2017,2017,310,"Inglewood, CA",16000US0636546,inglewood-ca,109,0.000981929
4,Native Hawaiian & Other Pacific Islander Alone,1,Hispanic or Latino,2017,2017,67,"Inglewood, CA",16000US0636546,inglewood-ca,63,0.000567537
5,Some Other Race Alone,0,Not Hispanic or Latino,2017,2017,192,"Inglewood, CA",16000US0636546,inglewood-ca,407,0.003666468
5,Some Other Race Alone,1,Hispanic or Latino,2017,2017,1792,"Inglewood, CA",16000US0636546,inglewood-ca,27718,0.249698215
